,Measure Name,Year,Period,Value
508,TTC Monthly Ridership,2017,May,40598000
509,TTC Monthly Ridership,2017,Jun,52528000
510,TTC Monthly Ridership,2017,Jul,40182000
511,TTC Monthly Ridership,2017,Aug,38144000
512,TTC Monthly Ridership,2017,Sep,52473000
513,TTC Monthly Ridership,2017,Oct,42279000
514,TTC Monthly Ridership,2017,Nov,43080000
515,TTC Monthly Ridership,2017,Dec,49614000
516,TTC Monthly Ridership,2018,Jan,47565000
517,TTC Monthly Ridership,2018,Feb,41112000
518,TTC Monthly Ridership,2018,Mar,50732000
519,TTC Monthly Ridership,2018,Apr,41302000
520,TTC Monthly Ridership,2018,May,39941000
521,TTC Monthly Ridership,2018,Jun,50966000
522,TTC Monthly Ridership,2018,Jul,39054000
523,TTC Monthly Ridership,2018,Aug,37217000
524,TTC Monthly Ridership,2018,Sep,41986000
525,TTC Monthly Ridership,2018,Oct,40934000
526,TTC Monthly Ridership,2018,Nov,52207000
527,TTC Monthly Ridership,2018,Dec,38388000
528,TTC Monthly Ridership,2019,Jan,45792000
529,TTC Monthly Ridership,2019,Feb,39421000
530,TTC Monthly Ridership,2019,Mar,51989000
531,TTC Monthly Ridership,2019,Apr,39413000
532,TTC Monthly Ridership,2019,May,39989000
533,TTC Monthly Ridership,2019,Jun,51209000
534,TTC Monthly Ridership,2019,Jul,39758000
535,TTC Monthly Ridership,2019,Aug,38453000
536,TTC Monthly Ridership,2019,Sep,53236000
537,TTC Monthly Ridership,2019,Oct,41624000
538,TTC Monthly Ridership,2019,Nov,43707000
539,TTC Monthly Ridership,2019,Dec,40879000
540,TTC Monthly Ridership,2020,Jan,44678000
541,TTC Monthly Ridership,2020,Feb,40326000
542,TTC Monthly Ridership,2020,Mar,26783000
543,TTC Monthly Ridership,2020,Apr,5037000
544,TTC Monthly Ridership,2020,May,6529000
545,TTC Monthly Ridership,2020,Jun,11237000
546,TTC Monthly Ridership,2020,Jul,13122000
547,TTC Monthly Ridership,2020,Aug,14622000
548,TTC Monthly Ridership,2020,Sep,19661000
549,TTC Monthly Ridership,2020,Oct,14750000
550,TTC Monthly Ridership,2020,Nov,14584000
551,TTC Monthly Ridership,2020,Dec,13671000
552,TTC Monthly Ridership,2021,Jan,10895000
553,TTC Monthly Ridership,2021,Feb,10897000
554,TTC Monthly Ridership,2021,Mar,15665000
555,TTC Monthly Ridership,2021,Apr,11038000
556,TTC Monthly Ridership,2021,May,11452000
557,TTC Monthly Ridership,2021,Jun,16599000
558,TTC Monthly Ridership,2021,Jul,15610000
559,TTC Monthly Ridership,2021,Aug,16707000
560,TTC Monthly Ridership,2021,Sep,23587000
561,TTC Monthly Ridership,2021,Oct,20451000
562,TTC Monthly Ridership,2021,Nov,21646000
563,TTC Monthly Ridership,2021,Dec,23294000
