SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,330532,402037,280800,347860,25533,21712,2766,54177,2487,30561,78,680,0,0,0,23616,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,330026,397365,278543,344702,25545,23208,3014,52663,2730,31985,77,659,0,0,0,20678,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,42,335115,385066,285921,360517,30376,16622,2234,24549,2196,21283,776,3915,0,0,0,3266,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,42,322785,362737,271627,337636,32265,16699,2226,25101,2194,22363,742,5191,0,0,0,2738,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,71819,89309,61136,76774,4893,5559,423,12535,231,3619,0,0,0,0,0,8916,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,67830,81227,56686,70767,5088,5943,289,10460,113,1831,0,0,0,0,0,8629,0
1004I Humber River (Inbound),East/North/South,17,303742,411885,260460,318969,23312,17710,3907,92916,2260,31651,1112,17651,0,0,36119,25146,0
1004O Humber River (Outbound),North/South/West,17,298019,416364,254878,316076,24174,16587,4032,100288,2380,32540,1195,16926,0,0,45569,22179,0
1005I CNR Newmarket Subdivision (Inbound),East/North,28,350959,538636,293399,366525,33944,18891,6349,172111,4725,83691,3255,67373,0,0,62122,26298,0
1005O CNR Newmarket Subdivision (Outbound),South/West,28,335109,513446,279323,351598,32230,18743,6449,161848,4813,80657,3193,61650,0,0,57982,23209,0
1006I CNR Bala Subdivision (Inbound),North/South/West,29,375928,564581,323389,403184,30679,17681,5745,161397,4179,69142,2533,56484,0,0,76118,16137,0
1006O CNR Bala Subdivision (Outbound),East/North/South,29,371835,550003,318850,393167,30919,18010,5626,156836,4056,64640,2459,52814,0,0,76554,15642,0
1007I CNR Uxbridge Subdivision (Inbound),West,16,236368,326235,202372,255242,19714,11318,3774,70993,2964,44012,1839,36781,0,0,14023,12958,0
1007O CNR Uxbridge Subdivision (Outbound),East,16,192137,275339,163375,206909,16967,8971,3618,68430,2824,43409,1811,36144,0,0,11974,13047,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,39,322867,521177,278010,351820,29499,10795,7838,169357,4563,66562,2833,55932,0,0,95164,7631,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,39,305874,490056,263035,328541,27731,10735,7659,161515,4373,61266,2759,51222,0,0,93744,6505,0
1009I Hwy 401 South (Inbound),East/South/West,46,705734,921805,607255,755817,59479,31542,10126,165988,7458,100088,3327,62540,0,0,57522,8378,0
