SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East/South,22,123487,163424,108259,118537,8890,5622,744,42935,720,9075,38,456,54,0,0,33860,15
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),North/West,22,100576,104241,85977,94002,7909,6048,660,10239,657,9638,45,734,63,0,0,601,16
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,49,160600,190475,145257,161259,8096,6339,921,29216,908,11807,279,2783,144,0,0,17409,749
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,49,112720,124000,99102,112353,6571,6151,896,11647,896,11647,280,3454,162,0,0,0,403
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,7,54243,67396,49805,52717,2782,1571,97,14679,85,1350,0,0,9,0,0,13329,5
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,7,18466,17805,14844,16595,1898,1657,73,1210,67,716,0,0,5,0,0,494,6
1004I Humber River (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1004O Humber River (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005I CNR Newmarket Subdivision (Inbound),East,7,24301,56815,22610,24418,844,750,119,32397,97,1805,15,404,202,0,0,30592,58
1005O CNR Newmarket Subdivision (Outbound),West,7,19553,22388,18289,20710,577,587,100,1678,100,1678,10,204,95,0,0,0,39
1006I CNR Bala Subdivision (Inbound),North/South/West,16,44173,119430,39949,46313,2597,1213,503,73117,414,8080,220,6896,601,0,36610,28427,482
1006O CNR Bala Subdivision (Outbound),East/North/South,16,32599,46620,28688,33318,2337,1196,438,13302,378,4535,189,3226,203,0,8342,425,276
1007I CNR Uxbridge Subdivision (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1007O CNR Uxbridge Subdivision (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
