SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,96693,129756,85621,100256,6137,4323,787,29500,612,8085,25,118,79,0,0,21415,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,20,61790,65951,53727,61140,4251,3289,587,4811,523,4552,26,199,69,0,0,259,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,45,96789,110115,84495,100977,8492,3050,795,9138,752,6144,237,845,61,0,0,2994,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,42,63051,68797,54032,62892,6013,2377,629,5905,629,5905,247,2569,87,0,0,0,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,30812,40257,27881,31856,1947,912,167,8401,72,639,0,0,5,0,0,7762,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,10661,11941,8741,10186,804,1040,122,1755,76,1466,0,0,8,0,0,289,0
1004I Humber River (Inbound),East/North/South,17,87915,138830,77394,90104,5866,3972,1206,48726,683,8823,319,5467,127,0,17113,22790,0
1004O Humber River (Outbound),North/South/West,16,66865,77922,58241,65893,4742,3214,1074,12029,668,6853,304,4181,136,0,4948,228,0
1005I CNR Newmarket Subdivision (Inbound),East/North,28,84672,162185,72918,89929,6867,3620,1773,72256,1267,24516,771,20135,728,0,24421,23319,0
1005O CNR Newmarket Subdivision (Outbound),South/West,26,66032,83426,57299,65736,4906,2648,1597,17690,1179,11682,729,8493,342,0,5780,228,0
1006I CNR Bala Subdivision (Inbound),North/South/West,29,94506,174221,84000,100552,5685,3712,1594,73669,1109,24405,696,21426,1180,0,34552,14712,0
1006O CNR Bala Subdivision (Outbound),East/North/South,27,65562,80458,57535,65807,4056,2940,1391,14651,1031,8180,652,6007,444,0,6329,142,0
1007I CNR Uxbridge Subdivision (Inbound),West,16,68092,104796,59793,71351,4831,2521,1210,33445,947,16840,574,14977,105,0,4817,11788,0
1007O CNR Uxbridge Subdivision (Outbound),East,15,35832,45540,30357,35143,2847,1829,1005,10397,799,8078,522,6175,64,0,2109,210,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,37,74105,146425,65057,79293,5798,2007,2087,67132,1243,17970,752,16139,356,0,42145,7017,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,34,61964,97238,54366,64082,4739,1648,1955,33156,1211,16367,761,14440,290,0,16789,0,0
1009I Hwy 401 South (Inbound),East/South/West,48,178720,243358,155401,181942,14913,6172,2896,61416,2234,27883,916,19387,222,0,25897,7636,0
1009O Hwy 401 South (Outbound),East/North/West,47,151286,182512,133148,153704,12091,4088,2443,28808,1959,20481,913,13976,255,0,8327,0,0
1010I Hwy 401 North (Inbound),East/South/West,44,167658,228060,143436,169372,15121,7058,2705,58688,2043,25473,893,19494,234,0,25897,7318,0
1010O Hwy 401 North (Outbound),East/North/West,44,158466,185302,138735,158237,12540,5394,2281,27065,1797,18738,912,14482,227,0,8327,0,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,11,36909,81038,33430,40876,2192,835,871,40162,452,7166,280,6460,115,0,20515,12481,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,10,23700,31753,20858,23932,1702,661,875,7821,479,3856,262,3261,101,0,3762,203,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,23313,75426,21062,26296,1423,519,981,49130,309,6338,218,5604,675,0,42792,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,12899,39487,11023,13265,1186,399,925,26222,291,3931,224,3594,315,0,22291,0,0
1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),East,24,33947,103401,30596,39173,1979,988,890,64228,384,9083,234,7061,1490,0,31826,23319,0
1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),West,21,17763,26622,15557,18196,1124,762,732,8426,320,2493,176,1276,316,0,5705,228,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,17,35342,97132,31482,40545,2246,1139,981,56587,475,8847,304,6887,597,0,24421,23319,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,15,19408,30143,16705,20171,1440,843,838,9972,420,3964,273,2387,245,0,5780,228,0
