SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,22,112901,147942,98464,106911,7933,5754,774,41031,750,8809,26,163,48,0,0,32222,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,22,98124,103151,85246,93306,6837,5378,666,9845,663,9425,43,811,58,0,0,420,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,45,152308,176041,139273,153122,6864,5307,876,22919,864,11466,217,2002,25,0,0,11453,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,45,102434,113883,91438,103282,5508,4684,804,10601,804,10601,240,4216,19,0,0,0,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,49392,60005,45098,47242,2749,1466,90,12763,79,1126,0,0,8,0,0,11637,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,16188,15471,13001,14491,1649,1474,69,980,64,558,0,0,2,0,0,422,0
1004I Humber River (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1004O Humber River (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005I CNR Newmarket Subdivision (Inbound),East/North,19,41891,93165,38996,43772,1016,1284,624,49393,595,12101,362,9562,194,0,0,37292,0
1005O CNR Newmarket Subdivision (Outbound),South/West,19,32552,40831,30229,33496,684,1043,600,7335,596,6796,358,4285,56,0,0,539,0
1006I CNR Bala Subdivision (Inbound),North/South/West,17,40811,109149,37213,43245,2022,1160,496,65904,416,9549,213,8537,562,0,32618,23737,0
1006O CNR Bala Subdivision (Outbound),East/North/South,17,29405,41407,26075,29531,1957,996,428,11876,377,3401,195,2203,149,0,8145,330,0
1007I CNR Uxbridge Subdivision (Inbound),West,9,39301,68827,37685,45062,145,679,792,23765,792,23765,531,21540,1,0,0,0,0
