SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,69951,96880,62419,77230,3807,3332,511,19650,393,7893,17,172,0,0,0,11757,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,19,47545,52807,40712,48266,3416,3068,373,4541,349,4290,20,220,0,0,0,251,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,32,54475,63388,47318,57407,4753,2029,399,5981,375,4843,85,566,0,0,0,1138,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,29,34941,38546,28577,34134,4335,1752,277,4412,277,4412,76,1742,0,0,0,0,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,3,16416,23372,14608,18551,948,798,105,4821,62,1227,0,0,0,0,0,3594,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,3,7706,8385,6122,7799,843,724,57,586,17,337,0,0,0,0,0,249,0
1004I Humber River (Inbound),East/North/South,16,68659,117743,59453,72933,5444,3196,1022,44810,566,9580,312,6623,0,0,22572,12658,0
1004O Humber River (Outbound),North/South/West,14,53835,66910,46318,52903,3903,3105,878,14007,509,6761,289,3779,0,0,6893,353,0
1005I CNR Newmarket Subdivision (Inbound),East/North,27,79674,159732,68161,85089,6682,3633,1665,74643,1198,30986,865,27273,0,0,30578,13079,0
1005O CNR Newmarket Subdivision (Outbound),South/West,24,60650,85908,51804,60689,4704,3069,1472,25219,1073,16592,826,14083,0,0,8274,353,0
1006I CNR Bala Subdivision (Inbound),North/South/West,29,87344,170870,76586,95676,6469,3233,1498,75194,1056,28373,710,25658,0,0,38903,7918,0
1006O CNR Bala Subdivision (Outbound),East/North/South,27,60220,75518,51542,59431,4566,3125,1338,16087,987,9229,711,7228,0,0,6729,129,0
1007I CNR Uxbridge Subdivision (Inbound),West,16,58447,88414,51970,64638,3939,1866,720,23776,672,17305,440,15242,0,0,0,6471,0
1007O CNR Uxbridge Subdivision (Outbound),East,15,29735,37650,24190,28760,3141,1802,642,8890,602,8697,423,7423,0,0,0,193,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,36,69464,142070,61424,76402,5098,1858,1833,65668,1084,21720,773,19848,0,0,40193,3755,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,33,49991,79116,42957,51173,4211,1773,1664,27943,1050,18011,780,16178,0,0,9932,0,0
1009I Hwy 401 South (Inbound),East/South/West,44,146907,237499,127851,158033,11931,5517,2766,79466,1608,27918,778,19277,0,0,47854,3694,0
1009O Hwy 401 South (Outbound),East/North/West,44,124995,163604,109002,128244,9961,4515,2559,35360,1517,22043,792,16507,0,0,13317,0,0
1010I Hwy 401 North (Inbound),East/South/West,40,128543,191445,110396,135267,11311,5418,2188,56178,1418,25342,734,19824,0,0,27142,3694,0
1010O Hwy 401 North (Outbound),East/North/West,43,120418,151427,104473,123968,10164,4469,1934,27459,1312,19661,739,14872,0,0,7798,0,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,11,31167,71201,27558,35150,2450,782,779,36051,377,7643,242,6430,0,0,22593,5815,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,10,19498,28707,16734,19546,1673,730,778,9161,361,4352,242,3808,0,0,4637,172,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,22254,87659,19572,25020,1717,522,1291,62639,443,9381,302,8676,0,0,53258,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,12030,38230,10045,12026,1171,407,1199,26204,407,5825,290,5362,0,0,20379,0,0
1013I Central Area Cordon West (Bathurst St) (Before 1986) (Inbound),East,16,29664,99428,26039,34252,2220,992,874,65176,413,13022,311,11794,0,0,39075,13079,0
1013O Central Area Cordon West (Bathurst St) (Before 1986) (Outbound),West,13,16218,27269,13480,15378,1464,918,737,11891,356,4023,268,2986,0,0,7515,353,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,16,32591,92196,28340,36762,2551,1166,1001,55434,534,11777,401,10379,0,0,30578,13079,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,13,19036,32382,15541,18496,1900,1132,862,13886,463,5259,373,4249,0,0,8274,353,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,17,35268,95658,30856,40220,2820,1228,806,55438,364,8617,235,7733,0,0,38903,7918,0
