SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,20,88059,101155,77473,93685,5203,4714,697,7470,669,6992,38,442,73,0,0,478,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,105926,141620,93625,113244,6171,5394,867,28376,736,12163,17,108,77,0,0,16213,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,40,98693,116332,87060,110590,7473,3603,557,5742,557,5742,194,1923,180,0,0,0,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,43,117519,136572,103338,127477,9608,3885,725,9095,688,6507,204,1243,181,0,0,2588,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,16594,18758,14393,17769,925,1227,73,989,49,603,0,0,14,0,0,386,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,32077,38738,29183,31818,1544,1275,126,6920,75,438,0,0,24,0,0,6482,0
1004I Humber River (Inbound),East/North/South,16,85416,110284,76177,92846,4915,3669,1055,17438,655,8861,304,5128,119,0,8096,481,0
1004O Humber River (Outbound),North/South/West,17,90171,141832,80427,98150,5194,3874,1179,43682,676,8315,272,5144,111,0,18083,17284,0
1005I CNR Newmarket Subdivision (Inbound),East/North,26,98048,143472,88210,111208,5357,3247,1646,32264,1234,19417,756,14760,867,0,12251,596,0
1005O CNR Newmarket Subdivision (Outbound),South/West,28,110327,196979,97276,124359,7674,4076,1811,72620,1301,23727,753,19083,788,0,30707,18186,0
1006I CNR Bala Subdivision (Inbound),North/South/West,25,94786,132441,84629,103859,5815,3230,1514,28582,1112,11428,640,9116,725,0,16786,368,0
1006O CNR Bala Subdivision (Outbound),East/North/South,27,106676,193951,96646,123502,6018,2915,1550,70449,1097,23107,632,19734,1136,0,34662,12680,0
1007I CNR Uxbridge Subdivision (Inbound),West,15,59707,80177,52943,65454,3991,1936,1037,14723,837,11478,509,9813,141,0,2847,398,0
1007O CNR Uxbridge Subdivision (Outbound),East,16,76144,113772,68321,83875,4844,2120,1088,29897,859,16087,507,14255,158,0,4367,9443,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,2,9030,12036,8025,10148,682,241,82,1888,82,1888,51,1753,21,0,0,0,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,5,8013,15669,6891,8144,781,226,177,7525,115,1582,65,1357,14,0,0,5943,0
1009I Highway 401 South (Inbound),East/South/West,45,203742,273621,182912,223936,13809,5012,3155,49685,2009,24860,909,17490,479,0,24825,0,0
1009O Highway 401 South (Outbound),East/North/West,52,224244,334010,199415,246559,16656,5962,3395,87451,2211,31793,932,21703,380,0,49269,6389,0
1010I Highway 401 North (Inbound),East/South/West,40,202895,253506,179561,214447,14729,6848,2531,39059,1757,25055,781,16257,376,0,14004,0,0
1010O Highway 401 North (Outbound),East/North/West,48,199164,271417,174881,212215,15162,7298,2617,59202,1823,25441,790,18098,322,0,27622,6139,0
1011I Taylor Creek-Victoria Park (Inbound),West,1,0,410,0,0,0,0,24,410,0,0,0,0,0,0,0,410,0
1011O Taylor Creek-Victoria Park (Outbound),East,2,0,10641,0,0,0,0,63,10641,0,0,0,0,0,0,0,10641,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,22886,53285,21184,27624,1115,273,1034,25661,314,4955,210,4260,695,0,20706,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,33845,98654,31177,41888,1859,458,1047,56766,351,7331,226,6291,864,0,49435,0,0
1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),East,22,33870,72221,31312,40948,1481,643,834,31273,434,8537,216,5370,1271,0,22140,596,0
1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),West,23,44860,115637,41014,55206,2472,958,932,60431,416,7909,199,5270,1652,0,34336,18186,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,15,34610,61829,31993,41979,1418,706,905,19850,493,7003,295,4327,695,0,12251,596,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,17,44327,111875,40161,53871,2565,1091,1020,58004,510,9111,287,6641,619,0,30707,18186,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,13,28593,52168,25298,31984,2103,852,742,20184,340,3030,148,1804,532,0,16786,368,0
