SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Inbound),East,21,188642,233257,156535,204747,15413,15787,1075,28510,907,20114,67,518,0,0,0,8396,0
1001O City West Boundary (Outbound),West,21,189052,236813,156115,205890,15700,16147,1285,30923,1090,22607,65,722,0,0,0,8316,0
1002I City North Boundary (Inbound),South,22,121789,137907,98876,128229,11832,10341,740,9678,740,9678,50,560,0,0,0,0,0
1002O City North Boundary (Outbound),North,22,120343,136183,97037,125467,12207,10352,747,10716,747,10716,53,1480,0,0,0,0,0
1003I City East Boundary (Inbound),West,3,40428,51326,32274,45103,4162,3831,326,6223,161,3324,0,0,0,0,0,2899,0
1003O City East Boundary (Outbound),East,3,36151,46458,28320,38692,3826,3804,360,7766,201,4992,0,0,0,0,0,2774,0
1004I Humber River (Inbound),East/North/South,14,226790,312510,187115,242456,19826,18387,2873,70054,1462,27144,813,13472,0,0,33672,9238,0
1004O Humber River (Outbound),North/South/West,14,224189,312070,184717,237571,19210,18683,3077,74499,1579,32814,792,14167,0,0,32430,9255,0
1005I CNR Newmarket Subdivision (Inbound),East/North,25,291384,450418,239329,314901,26620,21819,5017,135517,3616,73223,2737,57754,0,0,53166,9128,0
1005O CNR Newmarket Subdivision (Outbound),South/West,25,283559,438481,230991,301347,27082,21934,5044,137134,3552,69095,2746,55318,0,0,58669,9370,0
1006I CNR Bala Subdivision (Inbound),North/South/West,27,301188,453155,253237,323303,25832,19069,4491,129852,3050,62931,2241,50555,0,0,61589,5332,0
1006O CNR Bala Subdivision (Outbound),East/North/South,27,290276,431633,243035,304018,24978,19152,4484,127615,3111,61266,2215,47365,0,0,61517,4832,0
1007I CNR Uxbridge Subdivision (Inbound),West,14,152905,203685,127256,166677,13836,10242,1738,37008,1571,32005,1112,25223,0,0,0,5003,0
1007O CNR Uxbridge Subdivision (Outbound),East,14,144273,189698,119518,152732,13169,9984,1771,36966,1602,31279,1127,24354,0,0,0,5687,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,35,260773,416122,225958,290496,19671,11726,4875,125626,3418,69709,2687,59470,0,0,53758,2159,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,35,248885,404596,215411,276343,18316,11873,4748,128253,3285,67245,2655,59135,0,0,59007,2001,0
1009I Hwy 401 South (Inbound),East/South/West,41,521994,715388,444509,570376,40312,32715,7419,145012,4458,78782,2471,48954,0,0,64232,1998,0
1009O Hwy 401 South (Outbound),East/North/West,44,506441,688755,428831,549484,42733,30458,7372,139271,4419,70954,2537,47457,0,0,66484,1833,0
1010I Hwy 401 North (Inbound),East/South/West,38,436521,563286,367543,466105,36724,28395,5352,97181,3859,63067,2315,44498,0,0,32116,1998,0
1010O Hwy 401 North (Outbound),East/North/West,45,427228,556527,359452,458145,36415,27503,5347,98382,3858,63307,2362,44894,0,0,33242,1833,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,10,114805,199869,99907,129514,8441,5127,2751,70355,1330,29551,971,22195,0,0,35322,5482,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,10,108379,189923,93473,120981,8290,5263,2831,68942,1353,24963,1034,19662,0,0,39024,4955,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,95304,248871,83085,109262,7051,3271,3719,139609,1897,39804,1569,36262,0,0,99805,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,89171,227576,76948,100874,7037,3316,3698,126702,1870,40288,1528,36849,0,0,86414,0,0
1013I Central Area Cordon West (Before 1986) (Inbound),East,14,111098,256217,93583,123697,8861,7046,2991,132520,1608,40958,1247,33081,0,0,82434,9128,0
1013O Central Area Cordon West (Before 1986) (Outbound),West,14,105246,234186,87974,115352,8691,7016,3045,118834,1565,34688,1205,27874,0,0,74776,9370,0
