SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Inbound),East,20,71351,95703,64632,77103,2932,3421,457,18600,366,7360,11,154,0,0,0,11240,0
1001O City West Boundary (Outbound),West,19,50799,57045,44451,52752,2714,3346,314,4293,288,4141,18,398,0,0,0,152,0
1002I City North Boundary (Inbound),South,27,47590,57099,41647,51828,3429,2217,314,5271,297,4716,52,288,0,0,0,555,0
1002O City North Boundary (Outbound),North,26,31950,35894,27026,32189,2794,1885,245,3705,245,3705,57,1437,0,0,0,0,0
1003I City East Boundary (Inbound),West,3,15364,21218,13896,16970,536,882,97,4248,50,912,0,0,0,0,0,3336,0
1003O City East Boundary (Outbound),East,3,7152,7707,6125,7160,359,652,66,547,16,337,0,0,0,0,0,210,0
1004I Humber River (Inbound),East/North/South,15,67743,114377,59392,71593,4288,3547,933,42784,516,9079,245,5066,0,0,21291,12414,0
1004O Humber River (Outbound),North/South/West,14,53924,65528,46033,53509,4206,3283,773,12019,402,4868,264,3418,0,0,6932,219,0
1005I CNR Newmarket Subdivision (Inbound),East/North,25,77537,159277,67236,82513,5279,3954,1440,76764,1068,31571,797,26904,0,0,33411,11782,0
1005O CNR Newmarket Subdivision (Outbound),South/West,24,63604,91141,54393,64278,4935,3264,1371,26863,1012,16884,791,14684,0,0,9760,219,0
1006I CNR Bala Subdivision (Inbound),North/South/West,28,83108,170717,73928,92651,5051,3252,1305,78066,877,27457,641,25597,0,0,42536,8073,0
1006O CNR Bala Subdivision (Outbound),East/North/South,27,56572,71142,49286,55298,3372,3101,1154,15844,813,8682,620,7358,0,0,7023,139,0
1007I CNR Uxbridge Subdivision (Inbound),West,15,54353,82178,49040,61155,2757,1979,624,21023,577,14722,385,12913,0,0,0,6301,0
1007O CNR Uxbridge Subdivision (Outbound),East,15,28414,36618,24380,28525,1707,1815,562,8093,512,7912,376,6904,0,0,0,181,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,36,69542,142867,62688,77308,3946,2008,1652,65559,900,21169,722,19411,0,0,40403,3987,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,34,51881,81005,45986,54352,2985,1977,1555,26653,933,17757,724,15970,0,0,8896,0,0
1009I Hwy 401 South (Inbound),East/South/West,43,142882,227643,127167,152582,8480,5993,2380,75061,1242,22512,630,15489,0,0,48773,3776,0
1009O Hwy 401 South (Outbound),East/North/West,45,129295,167087,115880,136036,7143,5068,2248,31051,1204,18989,661,13848,0,0,12062,0,0
1010I Hwy 401 North (Inbound),East/South/West,40,122718,178955,107467,128462,8310,5847,1846,50493,1094,19585,610,15744,0,0,27412,3496,0
1010O Hwy 401 North (Outbound),East/North/West,45,115941,144575,103584,120844,6604,4683,1698,23731,1070,16574,635,13006,0,0,7157,0,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,10,30652,76838,27848,34910,1735,725,715,41928,344,8710,249,7860,0,0,26507,6711,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,10,18886,30159,16788,19135,1065,711,711,11024,322,5444,255,4696,0,0,5423,157,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,22644,88969,19993,25389,1754,504,1221,63580,393,9632,301,8984,0,0,53948,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,12110,41197,10124,12401,1168,446,1132,28796,372,6101,288,5655,0,0,22695,0,0
1013I Central Area Cordon West (Before 1986) (Inbound),East,14,28454,97134,24623,31905,2264,1157,818,65229,410,14385,311,12954,0,0,39062,11782,0
