SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Inbound),East,20,60307,79561,53812,65303,2825,3379,379,14258,291,5587,20,63,0,0,0,8671,0
1001O City West Boundary (Outbound),West,19,45424,49413,39216,46094,2834,3161,234,3319,213,3199,20,282,0,0,0,120,0
1002I City North Boundary (Inbound),South,24,39041,44459,33904,41372,2917,1973,264,3087,247,2643,20,47,0,0,0,444,0
1002O City North Boundary (Outbound),North,23,25989,28596,21801,25992,2358,1662,168,2604,168,2604,21,960,0,0,0,0,0
1003I City East Boundary (Inbound),West,3,14298,18887,12958,15843,526,773,76,3044,41,454,0,0,0,0,0,2590,0
1003O City East Boundary (Outbound),East,3,7283,7687,6073,7102,449,736,64,585,25,435,0,0,0,0,0,150,0
1004I Humber River (Inbound),East/North/South,15,65844,106133,57838,70996,4050,3529,791,35137,427,7787,240,4985,0,0,17878,9472,0
1004O Humber River (Outbound),North/South/West,14,54097,64065,46665,53764,3675,3406,672,10301,351,4722,231,3580,0,0,5411,168,0
1005I CNR Newmarket Subdivision (Inbound),East/North,25,70009,136886,58912,74660,6324,3820,1332,62226,953,23551,759,20656,0,0,29650,9025,0
1005O CNR Newmarket Subdivision (Outbound),South/West,24,61395,83032,52135,61034,5063,3288,1261,21998,909,14109,739,12246,0,0,7711,178,0
1006I CNR Bala Subdivision (Inbound),North/South/West,28,89134,165102,79509,101982,5473,3335,1208,63120,817,24517,605,22155,0,0,31882,6721,0
1006O CNR Bala Subdivision (Outbound),East/North/South,27,56610,70006,49165,56856,3645,3068,1054,13150,732,7830,568,6685,0,0,5221,99,0
1007I CNR Uxbridge Subdivision (Inbound),West,14,49518,74928,44556,55899,2705,1787,506,19029,470,13848,327,12595,0,0,0,5181,0
1007O CNR Uxbridge Subdivision (Outbound),East,14,27414,34709,23492,27541,1681,1799,476,7168,442,7044,336,5486,0,0,0,124,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,35,68278,134522,61869,77214,3660,1855,1467,57308,894,21492,712,19880,0,0,32468,3348,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,33,49323,77676,43446,52471,3139,1860,1298,25205,878,16765,709,15681,0,0,8440,0,0
1009I Hwy 401 South (Inbound),East/South/West,42,140150,216497,125648,151500,7397,5910,1967,64997,1195,19993,620,14335,0,0,41839,3165,0
1009O Hwy 401 South (Outbound),East/North/West,44,125331,160482,112102,132509,6942,5179,1746,27973,1108,17920,636,13361,0,0,10053,0,0
1010I Hwy 401 North (Inbound),East/South/West,39,114357,164870,101143,121604,6923,5278,1569,43266,1013,17377,585,13906,0,0,23019,2870,0
