SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,19,87312,103606,73946,93990,7096,5681,619,9616,589,9272,26,342,0,0,0,344,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,96618,128781,84151,105292,6263,5664,656,23489,540,11246,22,160,0,0,0,12243,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,32,73261,86792,62964,81302,5834,3981,482,5490,482,5490,172,1965,0,0,0,0,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,35,86287,103797,74298,92530,7370,4046,595,11267,573,9779,169,1608,0,0,0,1488,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,3,15713,18817,12876,16696,1231,1525,120,2121,81,1748,0,0,0,0,0,373,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,3,21269,26606,18519,22431,1343,1336,116,4175,71,1036,0,0,0,0,0,3139,0
1004I Humber River (Inbound),East/North/South,14,81274,108189,69985,86611,6442,4272,1049,21578,575,11056,310,6721,0,0,10176,346,0
1004O Humber River (Outbound),North/South/West,16,86412,140045,74868,93132,6258,4686,1181,46913,600,11846,336,6763,0,0,21463,13604,0
1005I CNR Newmarket Subdivision (Inbound),East/North,25,93511,132702,79413,98213,8471,4313,1777,34489,1314,22007,948,19067,0,0,12149,333,0
1005O CNR Newmarket Subdivision (Outbound),South/West,28,107495,199628,89883,114988,10976,5156,2069,84640,1480,33677,974,27234,0,0,36424,14539,0
1006I CNR Bala Subdivision (Inbound),North/South/West,27,98407,140638,84958,103916,7610,4617,1697,36722,1222,15705,796,11240,0,0,20713,304,0
1006O CNR Bala Subdivision (Outbound),East/North/South,29,114661,206799,99168,124401,9571,4686,1723,82398,1236,29317,801,25437,0,0,44527,8554,0
1007I CNR Uxbridge Subdivision (Inbound),West,15,54270,73017,46199,57951,4394,2805,1031,15066,872,11552,528,9169,0,0,3189,325,0
1007O CNR Uxbridge Subdivision (Outbound),East,16,75488,115432,66274,83152,5707,2562,1130,32280,945,21377,570,18059,0,0,4036,6867,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,36,85506,134794,75293,94658,6668,2321,2157,40136,1224,22322,843,19609,0,0,17814,0,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,39,91518,182631,81089,102809,6745,2378,2282,79822,1306,26959,858,22939,0,0,48792,4071,0
1009I Hwy 401 South (Inbound),East/South/West,44,203609,268403,178926,220315,14771,7898,2743,48088,2014,34853,975,23606,0,0,13235,0,0
1009O Hwy 401 South (Outbound),East/North/West,52,220374,321048,193105,240939,16693,8284,3022,80109,2292,41967,987,26402,0,0,33611,4531,0
1010I Hwy 401 North (Inbound),East/South/West,38,186688,226356,162130,197774,14791,8053,1714,28582,1714,28582,890,21460,0,0,0,0,0
1010O Hwy 401 North (Outbound),East/North/West,47,192360,243883,166024,204171,16052,8444,1884,39712,1840,35403,913,25670,0,0,0,4309,0
