SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,100536,130872,88530,101330,6445,4927,780,29542,634,8540,30,206,49,0,0,21002,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,20,71471,74496,61273,68837,5152,4537,581,5659,509,5383,27,192,39,0,0,276,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,43,102255,116631,90214,105680,7841,3500,744,10951,700,7400,217,915,84,0,0,3551,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,40,70025,75884,60212,70034,6129,3137,547,5850,547,5850,202,2686,98,0,0,0,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,35078,43117,31381,35085,2505,1138,142,8032,54,893,0,0,9,0,0,7139,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,11275,11319,9428,9945,668,1117,99,1374,62,1132,2,30,7,0,0,242,0
1004I Humber River (Inbound),East/North/South,17,89152,137013,78686,92215,5467,4208,1261,44798,791,9248,347,5280,106,0,13275,22275,0
1004O Humber River (Outbound),North/South/West,16,67878,78351,59720,66904,4221,3377,956,11447,560,5641,263,3706,113,0,5562,244,0
1005I CNR Newmarket Subdivision (Inbound),East/North,28,91846,169208,80288,94426,6013,4228,1770,74782,1317,23615,746,19265,572,0,28641,22526,0
1005O CNR Newmarket Subdivision (Outbound),South/West,26,69604,86074,60724,68492,4790,2989,1467,17582,1101,11709,687,8931,271,0,5629,244,0
1006I CNR Bala Subdivision (Inbound),North/South/West,27,88065,160658,79168,93615,5084,2718,1556,67043,1095,20269,634,17285,847,0,32237,14537,0
