SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East/South,22,118883,130743,101859,116589,9013,7297,722,11607,718,10371,41,952,100,0,0,1236,53
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),North/West,22,144867,184600,126283,145264,9720,8012,882,39336,863,12441,47,870,81,0,0,26895,57
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,49,149175,170922,132349,156271,8885,6905,1036,14651,1036,14651,270,3053,198,0,0,0,743
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,49,178784,217816,161901,188034,8498,7363,1032,29782,1022,16932,261,3881,201,0,0,12850,823
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,7,26977,28010,22477,25969,2134,2271,100,2041,95,1326,0,0,15,0,0,715,5
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,7,46859,59439,41838,45464,2826,2113,91,13975,82,1725,0,0,17,0,0,12250,8
1004I Humber River (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1004O Humber River (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005I CNR Newmarket Subdivision (Inbound),East,7,26115,29078,24633,26119,642,663,177,2959,177,2959,19,530,115,0,0,0,78
1005O CNR Newmarket Subdivision (Outbound),West,7,25086,59302,23174,28462,1021,719,190,30840,172,3981,18,309,166,0,0,26859,72
