SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1801O Metro Boundary Cordon (Outbound),East/North/West,56,163684,213872,143956,183146,11545,7193,1145,30726,990,17704,108,649,0,0,0,13022,0
1802I Suburban Cordon-Humber River-Hwy 401-CN Uxbridge (Inbound),East/North/South/West,39,146590,213676,128868,165982,11604,4324,3106,47694,1794,29797,1102,22601,0,0,17213,684,0
1802O Suburban Cordon-Humber River-Hwy 401-CN Uxbridge (Outbound),East/North/South/West,44,181679,318274,160801,207649,14196,4652,3421,110625,2030,43083,1190,34671,0,0,50289,17253,0
1803I Railway Cordon-CNR-CPR-Don River (Inbound),East/North/South/West,42,81101,167356,69895,89845,6993,2770,3324,77511,1443,21846,1067,18288,0,0,54960,705,0
1803O Railway Cordon-CNR-CPR-Don River (Outbound),East/North/South/West,47,114605,329227,100453,133186,9508,3130,3497,196041,1514,36020,1082,30287,0,0,141351,18670,0
1804I Downtown Cordon-University-Davenport-Jarvis-Front (Inbound),North,2,0,705,0,0,0,0,67,705,0,0,0,0,0,0,0,705,0
1804O Downtown Cordon-University-Davenport-Jarvis-Front (Outbound),South,7,0,18670,0,0,0,0,187,18670,0,0,0,0,0,0,0,18670,0
1806I Downtown Core Cordon-University-Dundas-Jarvis-Front (Inbound),North,2,0,705,0,0,0,0,67,705,0,0,0,0,0,0,0,705,0
1806O Downtown Core Cordon-University-Dundas-Jarvis-Front (Outbound),South,7,0,18670,0,0,0,0,187,18670,0,0,0,0,0,0,0,18670,0
1856I GO Rail (Inbound),East/North/West,9,0,3150,0,0,0,0,293,3150,0,0,0,0,0,0,0,3150,0
1856O GO Rail (Outbound),East/North/South/West,36,0,78226,0,0,0,0,824,78226,0,0,0,0,0,0,0,78226,0
