SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Inbound),East,19,67284,81540,59515,74246,3509,3901,382,7294,359,6939,22,296,0,0,0,355,0
1001O City West Boundary (Outbound),West,20,81650,112425,73251,92380,3549,4397,524,20045,453,10763,21,188,0,0,0,9282,0
1002I City North Boundary (Inbound),South,26,43817,54955,37657,48690,3502,2382,276,6265,276,6265,59,975,0,0,0,0,0
1002O City North Boundary (Outbound),North,27,56086,69275,48546,62035,4431,2785,341,7240,324,6751,52,453,0,0,0,489,0
1003I City East Boundary (Inbound),West,3,11341,15740,9800,13434,519,973,91,2306,49,1894,0,0,0,0,0,412,0
1003O City East Boundary (Outbound),East,3,17015,23955,15409,19959,532,1019,97,3996,55,1206,0,0,0,0,0,2790,0
1004I Humber River (Inbound),East/North/South,14,70569,93963,61386,75513,4785,3931,893,18450,467,8384,289,5378,0,0,9669,397,0
1004O Humber River (Outbound),North/South/West,15,84477,134477,74213,94858,5118,4572,1062,39619,574,12982,293,6370,0,0,15968,10669,0
1005I CNR Newmarket Subdivision (Inbound),East/North,24,80202,122657,69627,87336,5672,3715,1599,35321,1188,20711,925,16835,0,0,14255,355,0
1005O CNR Newmarket Subdivision (Outbound),South/West,25,93147,181050,80185,102395,6935,4736,1790,78655,1291,32166,958,25201,0,0,35443,11046,0
1006I CNR Bala Subdivision (Inbound),North/South/West,27,80942,117379,70460,87129,5321,4218,1385,30250,943,15457,727,12563,0,0,14424,369,0
1006O CNR Bala Subdivision (Outbound),East/North/South,28,101595,192939,90184,115338,6502,3870,1477,77601,1039,31708,765,28467,0,0,38742,7151,0
1007I CNR Uxbridge Subdivision (Inbound),West,15,45042,61899,39211,50613,2866,2420,587,11286,545,10860,406,9384,0,0,0,426,0
1007O CNR Uxbridge Subdivision (Outbound),East,15,61350,91823,55199,69911,3221,2319,660,21912,611,16171,419,14356,0,0,0,5741,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,34,70389,111794,62982,78898,4154,2215,1812,32896,1038,19891,834,17975,0,0,13005,0,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,36,87669,177101,79054,100659,5066,2460,1885,76442,1089,26951,888,25205,0,0,45793,3698,0
1009I Hwy 401 South (Inbound),East/South/West,41,172074,235773,155595,194586,8246,6792,2579,41187,1441,26905,741,16802,0,0,14282,0,0
1009O Hwy 401 South (Outbound),East/North/West,47,183974,289722,165556,208501,9967,7045,2529,81221,1406,28359,794,19496,0,0,49660,3202,0
